Symbol,Close Price Mean,Close Price Std,Return Mean,Return Std,Volatile?,Max_DD,Max Price,Min Price
DYN,86.6209,0.121947,-8.09569e-06,0.000624842,stable,0.917958,87.15,86.35
EPD,34.2337,0.278053,4.39748e-05,0.00236244,volatile,2.38234,34.94,33.6
KMI,40.9725,0.252543,6.08553e-05,0.00168911,volatile,1.22041,41.47,40.3
AIG,49.2166,0.141028,-1.50253e-05,0.00137309,volatile,1.47207,49.59,48.76
BABA,90.0624,0.869109,1.50229e-06,0.00313839,volatile,3.26229,91.96,88.36
FANG,68.8203,0.65014,7.89743e-05,0.00387982,volatile,3.02119,70.53,67.02
FB,76.8177,0.385008,-9.61412e-05,0.00173127,volatile,2.8337,77.99,75.78
GS,173.929,0.535949,-4.39385e-05,0.00118628,volatile,1.82222,175.61,172.41
IBM,154.141,0.413275,-3.02335e-05,0.00114792,volatile,1.37878,155.21,153.07
Macy,64.3245,0.206764,-4.73369e-05,0.00143042,volatile,1.70953,64.93,63.82
Morgan_Stanley,34.0514,0.125892,-3.25332e-05,0.00183228,volatile,1.88899,34.41,33.76
MSFT,40.9663,0.214362,-9.63565e-05,0.00193356,volatile,2.83995,41.55,40.37
Sears,31.9124,0.191509,-5.21445e-05,0.00224054,volatile,3.08963,32.69,31.68
TWTR,37.5875,0.301634,3.04861e-05,0.00357683,volatile,2.38542,38.13,36.42
MHFI,89.9021,0.176372,-1.86489e-05,0.00113574,volatile,1.09501,90.41,89.42
AAPL,119.14,0.564456,-5.49681e-05,0.00190043,volatile,2.625,120,116.85
BAC,15.2676,0.0580414,-1.32193e-05,0.000992219,stable,1.94175,15.45,15.15
BRK-A,217751,771.211,-5.89966e-05,0.00117015,volatile,1.74853,219900,216055
BRK-B,145.056,0.453286,-3.83286e-05,0.00104766,volatile,1.51888,146.16,143.94
GOOG,532.113,4.68862,6.48442e-05,0.00417882,volatile,2.66454,539.68,519.77
INTC,33.4862,0.150796,-8.79389e-05,0.00166943,volatile,2.70987,33.95,33.03
KO,41.5623,0.136588,-5.55748e-05,0.00084391,stable,1.83815,41.89,41.12
0001.HK,135.044,3.97043,-6.2816e-05,0.00363454,volatile,7.05128,140.4,128.5
0005.HK,75.858,1.31254,-4.21077e-05,0.00118564,volatile,4.3956,77.35,73.95
0008.HK,5.27433,0.166617,7.20495e-05,0.00241285,volatile,3.57143,5.6,5.06
0011.HK,5.27433,0.166617,7.20495e-05,0.00241285,volatile,3.57143,5.6,5.06
0016.HK,127.599,0.699214,7.63725e-06,0.000896473,stable,1.86335,128.8,126.4
0066.HK,113.67,1.26392,4.47928e-05,0.00144884,volatile,2.1777,116.7,112
0087.HK,31.1694,0.286407,3.9138e-05,0.00102138,volatile,0.966184,31.75,30.6
0101.HK,18.8459,0.38421,-6.51703e-05,0.001328,volatile,5.49223,19.3,18.24
0165.HK,21.8084,0.33636,-3.62838e-05,0.00191667,volatile,5.77778,22.5,21.2
0272.HK,19.2453,0.941595,-0.000103726,0.00334829,volatile,13.4474,20.45,17.7
0293.HK,1.83609,0.0519854,-8.7492e-05,0.00297224,volatile,8.42105,1.9,1.74
0388.HK,17.3362,0.269232,-6.34979e-05,0.00196471,volatile,5.95506,17.8,16.74
0494.HK,176.31,3.77939,-7.0865e-06,0.00158772,volatile,6.13363,182.6,171.4
1019.HK,8.0181,0.414699,-0.000207393,0.00420678,volatile,16.0567,8.47,7.11
